departement,classe,pdc,stations,puissance_totale_kw
01,"AC 7 a 22,9 kW",612,299,12952.16
01,AC <= 7 kW,44,40,160.57999995231629
01,"AC > 22,9 kW",23,22,1970.29
01,DC 50 a 150 kW,135,58,10061.0
01,DC < 50 kW,83,70,2394.0
01,DC >= 150 kW,313,80,76186.0
01,non classable,37,17,4454.0
02,"AC 7 a 22,9 kW",533,164,10007.8
02,AC <= 7 kW,39,7,151.39999999999998
02,"AC > 22,9 kW",10,10,1186.0
02,DC 50 a 150 kW,147,49,11135.0
02,DC < 50 kW,11,10,221.8
02,DC >= 150 kW,188,42,42695.0
02,non classable,36,11,2152.2
03,"AC 7 a 22,9 kW",509,232,10356.88
03,AC <= 7 kW,27,27,99.9
03,"AC > 22,9 kW",31,26,2312.0
03,DC 50 a 150 kW,110,56,7645.0
03,DC < 50 kW,17,13,399.0
03,DC >= 150 kW,193,42,45990.0
03,non classable,6,3,522.08
04,"AC 7 a 22,9 kW",325,180,7029.496
04,AC <= 7 kW,4,4,8.8
04,"AC > 22,9 kW",7,7,408.0
04,DC 50 a 150 kW,84,40,5134.0
04,DC < 50 kW,30,24,720.0
04,DC >= 150 kW,102,16,27200.0
04,non classable,1,1,0.0
05,"AC 7 a 22,9 kW",420,177,9157.28
05,AC <= 7 kW,18,18,70.78
05,"AC > 22,9 kW",17,15,923.0
05,DC 50 a 150 kW,90,37,5990.0
05,DC < 50 kW,13,12,325.0
05,DC >= 150 kW,53,15,11050.0
05,non classable,4,1,500.0
06,"AC 7 a 22,9 kW",3196,876,62046.36
06,AC <= 7 kW,239,55,1261.7
06,"AC > 22,9 kW",49,36,2940.0
06,DC 50 a 150 kW,116,49,8262.0
06,DC < 50 kW,30,17,798.0
06,DC >= 150 kW,259,44,65856.0
06,non classable,47,20,691.54
07,"AC 7 a 22,9 kW",391,203,8334.2
07,AC <= 7 kW,7,7,24.5
07,"AC > 22,9 kW",22,18,1358.78
07,DC 50 a 150 kW,63,32,4333.0
07,DC < 50 kW,40,25,1176.0
07,DC >= 150 kW,39,14,7250.0
07,non classable,44,19,2094.0
08,"AC 7 a 22,9 kW",532,259,7178.92
08,AC <= 7 kW,53,53,196.10000000000002
08,"AC > 22,9 kW",3,3,450.0
08,DC 50 a 150 kW,43,17,3372.4
08,DC < 50 kW,3,3,88.0
08,DC >= 150 kW,89,21,17500.0
08,non classable,95,91,644.0
09,"AC 7 a 22,9 kW",224,100,4686.04
09,AC <= 7 kW,6,5,22.200000000000003
09,"AC > 22,9 kW",5,5,607.0
09,DC 50 a 150 kW,27,15,1824.0
09,DC < 50 kW,16,16,390.0
09,DC >= 150 kW,54,14,15910.0
09,non classable,4,1,500.0
10,"AC 7 a 22,9 kW",664,311,13206.36
10,AC <= 7 kW,3,3,10.5
10,"AC > 22,9 kW",25,22,1414.0
10,DC 50 a 150 kW,118,56,9510.0
10,DC < 50 kW,12,7,314.3
10,DC >= 150 kW,243,40,55870.0
10,non classable,13,10,543.0
11,"AC 7 a 22,9 kW",801,341,17085.96
11,AC <= 7 kW,29,21,96.7
11,"AC > 22,9 kW",16,14,1521.0
11,DC 50 a 150 kW,210,84,14811.0
11,DC < 50 kW,25,23,633.0
11,DC >= 150 kW,353,60,90246.0
11,non classable,19,8,3022.0
12,"AC 7 a 22,9 kW",507,242,11015.4
12,AC <= 7 kW,10,10,35.6
12,"AC > 22,9 kW",15,15,970.7
12,DC 50 a 150 kW,64,34,4672.8
12,DC < 50 kW,3,2,72.0
12,DC >= 150 kW,87,21,20611.2
12,non classable,16,10,1100.0
13,"AC 7 a 22,9 kW",3192,1121,58877.92
13,AC <= 7 kW,170,90,809.4
13,"AC > 22,9 kW",67,57,4340.0
13,DC 50 a 150 kW,292,113,20929.5
13,DC < 50 kW,164,102,4210.0
13,DC >= 150 kW,917,164,233643.0
13,non classable,136,102,6028.8
14,"AC 7 a 22,9 kW",1659,770,32696.24
14,AC <= 7 kW,195,128,1180.641
14,"AC > 22,9 kW",140,111,9599.87
14,DC 50 a 150 kW,296,155,27377.0
14,DC < 50 kW,234,229,6964.0
14,DC >= 150 kW,465,106,113562.0
14,non classable,66,29,3955.4
15,"AC 7 a 22,9 kW",210,79,4195.04
15,"AC > 22,9 kW",3,3,130.94
15,DC 50 a 150 kW,60,30,3870.8
15,DC < 50 kW,2,2,28.8
15,DC >= 150 kW,51,12,14840.0
15,non classable,6,2,22.0
16,"AC 7 a 22,9 kW",581,269,11993.368
16,AC <= 7 kW,7,7,16.899999809265136
16,"AC > 22,9 kW",32,30,2226.762
16,DC 50 a 150 kW,92,45,7257.0
16,DC < 50 kW,43,36,1080.0
16,DC >= 150 kW,197,41,48010.0
16,non classable,30,12,1347.8
17,"AC 7 a 22,9 kW",685,288,14473.676
17,AC <= 7 kW,27,26,88.23999995231628
17,"AC > 22,9 kW",117,114,5755.8
17,DC 50 a 150 kW,142,62,12426.788
17,DC < 50 kW,153,95,5395.0
17,DC >= 150 kW,354,70,93620.0
17,non classable,111,82,6062.0
18,"AC 7 a 22,9 kW",203,92,4082.32
18,AC <= 7 kW,21,21,77.7
18,"AC > 22,9 kW",9,6,605.0
18,DC 50 a 150 kW,97,46,7664.0
18,DC < 50 kW,19,18,411.0
18,DC >= 150 kW,252,34,68380.0
18,non classable,187,184,522.0
19,"AC 7 a 22,9 kW",339,160,7309.196
19,"AC > 22,9 kW",16,13,1065.0
19,DC 50 a 150 kW,92,37,6185.0
19,DC < 50 kW,16,16,418.4
19,DC >= 150 kW,199,28,50160.0
19,non classable,7,6,100.0
21,"AC 7 a 22,9 kW",849,267,16252.96
21,AC <= 7 kW,36,22,146.76
21,"AC > 22,9 kW",40,32,2839.0
21,DC 50 a 150 kW,213,65,14740.0
21,DC < 50 kW,42,26,917.6
21,DC >= 150 kW,473,81,120915.0
21,non classable,57,29,6769.4
22,"AC 7 a 22,9 kW",898,398,19636.84
22,AC <= 7 kW,5,5,17.78
22,"AC > 22,9 kW",10,9,954.0
22,DC 50 a 150 kW,179,79,15197.8
22,DC < 50 kW,46,28,1946.0
22,DC >= 150 kW,264,68,60310.0
22,non classable,22,5,2173.6
23,"AC 7 a 22,9 kW",204,101,4367.664
23,AC <= 7 kW,3,2,11.100000000000001
23,"AC > 22,9 kW",3,3,403.0
23,DC 50 a 150 kW,73,42,3800.0
23,DC < 50 kW,27,22,910.0
23,DC >= 150 kW,17,6,2820.0
23,non classable,2,1,44.0
24,"AC 7 a 22,9 kW",626,308,13352.992
24,AC <= 7 kW,9,8,37.78
24,"AC > 22,9 kW",23,22,1572.414
24,DC 50 a 150 kW,118,53,9063.0
24,DC < 50 kW,41,22,975.76
24,DC >= 150 kW,120,31,26680.0
24,non classable,40,32,1236.8
25,"AC 7 a 22,9 kW",540,261,11619.88
25,AC <= 7 kW,3,3,11.100000000000001
25,"AC > 22,9 kW",14,12,1329.0
25,DC 50 a 150 kW,230,104,17025.0
25,DC < 50 kW,13,10,347.0
25,DC >= 150 kW,198,44,42804.0
25,non classable,7,4,657.4
26,"AC 7 a 22,9 kW",835,316,17330.68
26,AC <= 7 kW,8,8,23.5
26,"AC > 22,9 kW",32,24,2187.0
26,DC 50 a 150 kW,135,61,10060.0
26,DC < 50 kW,33,16,980.0
26,DC >= 150 kW,584,82,164050.0
26,non classable,28,13,2134.3
27,"AC 7 a 22,9 kW",1000,363,20060.72
27,AC <= 7 kW,50,34,261.8
27,"AC > 22,9 kW",15,11,1801.0
27,DC 50 a 150 kW,150,61,11820.0
27,DC < 50 kW,9,8,198.8
27,DC >= 150 kW,290,64,73850.0
27,non classable,14,5,698.0
28,"AC 7 a 22,9 kW",506,127,10224.039999999999
28,AC <= 7 kW,2,2,5.5
28,"AC > 22,9 kW",20,15,1770.0
28,DC 50 a 150 kW,110,43,8847.0
28,DC < 50 kW,24,20,623.8
28,DC >= 150 kW,242,45,68893.2
28,non classable,151,145,1366.0
29,"AC 7 a 22,9 kW",1113,464,22960.62
29,AC <= 7 kW,12,12,43.5
29,"AC > 22,9 kW",40,35,3270.52
29,DC 50 a 150 kW,143,68,11611.8
29,DC < 50 kW,46,42,1109.4
29,DC >= 150 kW,274,68,70164.0
29,non classable,27,24,402.88
2A,"AC 7 a 22,9 kW",430,242,8810.36
2A,AC <= 7 kW,17,2,61.800000000000004
2A,"AC > 22,9 kW",1,1,132.0
2A,DC 50 a 150 kW,2,1,248.0
2A,DC < 50 kW,12,3,410.0
2A,DC >= 150 kW,70,25,16787.0
2A,non classable,12,9,88.0
2B,"AC 7 a 22,9 kW",331,167,6634.5199999999995
2B,"AC > 22,9 kW",6,1,864.0
2B,DC 50 a 150 kW,17,11,1000.0
2B,DC < 50 kW,5,3,203.0
2B,DC >= 150 kW,72,44,14440.0
2B,non classable,7,7,3.4
