departement,pdc,frais,hors_service,muet,inconnu,taux_hors_service
01,1247,351,2,498,1,0.005698005698005698
02,964,248,1,431,0,0.004032258064516129
03,893,301,7,329,0,0.023255813953488372
04,553,231,5,223,2,0.021645021645021644
05,615,186,5,263,2,0.026881720430107527
06,3936,423,7,798,0,0.016548463356973995
07,606,204,3,305,2,0.014705882352941176
08,818,127,1,475,0,0.007874015748031496
09,336,64,1,168,0,0.015625
10,1078,248,5,716,0,0.020161290322580645
11,1453,364,4,798,0,0.01098901098901099
12,702,112,0,79,0,0.0
13,4938,1280,27,1331,7,0.02109375
14,3055,808,12,1559,0,0.01485148514851485
15,332,56,8,148,0,0.14285714285714285
16,982,219,5,439,0,0.0228310502283105
17,1589,553,14,741,13,0.02531645569620253
18,788,271,9,382,2,0.033210332103321034
19,669,285,7,269,0,0.02456140350877193
21,1710,567,12,550,0,0.021164021164021163
22,1424,302,6,410,0,0.019867549668874173
23,329,55,0,137,0,0.0
24,977,283,4,478,3,0.014134275618374558
25,1005,342,5,421,0,0.014619883040935672
26,1655,722,6,637,8,0.008310249307479225
27,1528,346,4,589,3,0.011560693641618497
28,1055,319,4,451,0,0.012539184952978056
29,1655,307,11,519,3,0.035830618892508145
2A,544,33,0,189,0,0.0
2B,438,16,0,190,0,
30,1809,618,5,643,0,0.008090614886731391
31,3756,920,30,1050,1,0.03260869565217391
32,336,67,0,187,0,0.0
33,6120,1217,22,2588,4,0.018077239112571898
34,3291,897,16,1229,0,0.017837235228539576
35,2168,673,6,700,0,0.008915304606240713
36,578,121,0,189,2,0.0
37,1588,478,10,738,1,0.02092050209205021
38,2769,942,14,874,4,0.014861995753715499
39,433,126,2,148,0,0.015873015873015872
40,1436,465,8,682,2,0.017204301075268817
41,1308,286,4,506,0,0.013986013986013986
42,1665,657,11,661,0,0.0167427701674277
43,373,172,3,160,2,0.01744186046511628
44,3146,602,11,1020,0,0.018272425249169437
45,1373,368,14,549,0,0.03804347826086957
46,488,60,0,352,0,0.0
47,854,250,2,382,2,0.008
48,210,40,0,42,0,0.0
49,1718,318,7,390,2,0.0220125786163522
50,1642,418,4,562,0,0.009569377990430622
51,1572,553,11,663,0,0.019891500904159132
52,514,197,5,211,0,0.025380710659898477
53,535,103,3,185,0,0.02912621359223301
54,1890,506,9,850,3,0.017786561264822136
55,389,106,1,215,0,0.009433962264150943
56,1599,334,5,944,4,0.014970059880239521
57,3651,785,13,1697,2,0.016560509554140127
58,466,156,3,199,0,0.019230769230769232
59,6410,1597,13,1450,1,0.008140262993112084
60,1810,391,6,629,4,0.015345268542199489
61,354,95,2,167,0,0.021052631578947368
62,3259,856,10,972,7,0.011682242990654205
63,1526,446,4,624,1,0.008968609865470852
64,1855,423,7,748,8,0.016548463356973995
65,641,98,3,429,0,0.030612244897959183
66,1388,424,4,711,0,0.009433962264150943
67,2718,698,17,1006,0,0.024355300859598854
68,1712,392,1,683,0,0.002551020408163265
69,4634,887,4,1484,4,0.004509582863585118
70,315,106,1,143,0,0.009433962264150943
71,1555,433,4,641,2,0.009237875288683603
72,982,320,8,425,2,0.025
73,1908,516,5,727,0,0.009689922480620155
74,2418,901,29,859,0,0.03218645948945616
75,7969,1850,2,1448,0,0.001081081081081081
76,3030,644,6,987,2,0.009316770186335404
77,4155,1314,20,1750,0,0.015220700152207
78,3419,1027,12,820,0,0.011684518013631937
79,1394,162,7,883,0,0.043209876543209874
80,1409,351,11,797,0,0.03133903133903134
81,1519,115,6,108,0,0.05217391304347826
82,757,216,18,391,0,0.08333333333333333
83,2735,849,14,825,3,0.016489988221436984
84,1727,476,8,521,2,0.01680672268907563
85,1385,297,7,417,0,0.02356902356902357
86,2686,226,5,1180,0,0.022123893805309734
87,908,232,2,336,4,0.008620689655172414
88,1077,274,12,544,0,0.043795620437956206
89,1081,341,8,506,8,0.02346041055718475
90,324,74,0,116,0,0.0
91,2753,743,30,615,18,0.040376850605652756
92,3535,484,7,534,2,0.014462809917355372
93,1994,544,27,668,0,0.04963235294117647
94,2657,580,5,633,0,0.008620689655172414
95,2177,566,18,485,2,0.03180212014134275
971,109,0,0,23,0,
972,34,0,0,34,0,
973,2,0,0,2,0,
974,424,0,0,411,0,
,378,18,2,56,0,
