reseau,pdc,stations,frais,hors_service,avec_prix,puissance_mediane_kw,part_paiement_cb,part_gratuit
Freshmile,9514,3208,0,0,1,22.0,0.06558755518183729,0.0
Power Dot France,7662,1175,3933,89,0,100.0,0.0,0.0
GROUPE INDIGO,7649,329,0,0,0,7.4,0.0,0.0
Lidl France,5866,1073,3819,156,739,22.0,0.011421752471871804,0.0
TotalEnergies,5481,605,2208,12,0,22.0,0.011859149790184273,0.00036489691662105453
Allego,5303,625,823,13,2217,150.0,0.9430511031491609,0.0
Tesla,4937,287,3945,0,0,250.0,0.03362365809195868,0.0
DRIVECO,4789,1140,1212,6,18,22.08,0.001252871163082063,0.03048653163499687
IZIVIA,4511,1281,1906,0,0,150.0,0.0,0.0
Izivia,4466,4402,0,0,0,7.4,0.0,0.0
ENGIE Vianeo,4219,633,1897,132,0,22.0,0.9831713676226594,0.0
QOVOLTIS,3794,887,0,0,0,22.0,0.6837111228255139,0.0
eborn,3788,1667,2037,47,3650,22.0,0.9912882787750792,0.0
E.Leclerc,3371,418,0,0,3,22.0,0.08929101156926728,0.0
E-Totem,3180,635,927,0,0,22.0,0.8877358490566037,0.0006289308176100629
Electra,3100,525,2485,16,0,300.0,1.0,0.0
ALDI,3068,818,0,0,0,22.0,0.0,0.0
Ouest Charge,2989,1429,209,0,0,22.08,0.024757443961191034,0.0
CITEOS Mobive,2535,1157,925,27,2535,22.0,0.9980276134122288,0.0
Belib',2224,441,1656,0,0,7.0,0.0,0.0
SPIE CityNetworks,2146,468,1034,24,0,22.0,0.8196644920782852,0.0
SAEMES,2063,37,0,0,22,7.0,0.02714493456131847,0.016480853126514785
Bump,2055,218,497,8,0,22.0,0.23454987834549879,0.0
QPARK,1934,283,0,0,0,22.0,0.0,0.0
ELECTRIC 55 CHARGING,1921,623,0,0,0,22.08,0.0,0.0
Ionity,1850,180,1571,14,0,350.0,1.0,0.0
Bouygues Energies & Services,1837,779,195,0,200,22.08,0.0,0.0
Pass pass électrique,1802,744,0,0,0,22.08,0.0,0.0
WAAT SAS,1760,472,198,0,0,22.0,0.0005681818181818182,0.0
EVzen,1730,464,814,1,0,120.0,0.0676300578034682,0.0
Modulo,1621,1621,503,5,0,0.0,0.0,0.0
Atlante France,1574,185,848,14,0,150.0,0.0,0.0
Easy Charge Services,1510,382,582,13,1503,60.0,0.9960264900662251,0.0
Load Stations,1447,689,370,9,0,22.0,0.0,0.0
Road,1375,274,5,0,0,22.0,0.0,0.0
Alizé Liberté 2,1360,365,83,0,0,22.08,0.0,0.0
REVEO SYADEN,1341,520,0,0,0,22.0,0.0,0.0
SIGEIF,1269,508,118,0,0,22.0,0.0,0.0
La borne bleue,1214,415,0,0,0,7.36,0.0,0.0
STATIONS-E,1160,566,419,3,0,22.0,0.9379310344827586,0.0
ChargePoint Austria GmbH,1137,517,510,68,0,22.0,0.8803869832893579,0.0
SOREGIES MOBILITES,1131,822,20,0,229,22.0,0.27851458885941643,0.0
EFFIA France,1100,264,0,0,0,7.36,0.0,0.0
BOUYGUES ENERGIES SERVICES,1081,861,0,0,0,24.0,0.6151711378353376,0.0
YES55,1080,396,0,0,1,22.0,0.0,0.0
Soregies,1078,348,0,0,0,22.08,0.0,0.0
Greenspot,947,286,0,0,57,22.08,0.004223864836325237,0.04963041182682154
Interparking France,944,39,195,5,0,22.0,0.10063559322033898,0.0
Virta,940,927,260,10,0,0.0,0.9627659574468085,0.00851063829787234
IKEA,915,129,0,0,0,7.36,0.0,0.0
Ze-Watt,880,661,0,0,0,22.0,1.0,0.0
Sowatt Solutions,874,213,275,2,35,22.08,0.2151029748283753,0.003432494279176201
RossiniEnergy,871,305,0,0,0,22.0,0.9265212399540758,0.011481056257175661
NICE RP,870,317,11,0,0,22.0,0.0,0.0
CITEOS Region-Bfc,823,356,185,8,814,22.0,1.0,0.0
R3,817,162,503,4,37,150.0,0.04039167686658507,0.0
Enerstock,800,104,0,0,0,22.0,0.0,0.0
Evzen,793,349,0,0,0,22.0,0.0,0.0
Grand Lyon,790,227,104,0,0,7.4,0.0,0.0
DRIVECO Partner Network,771,100,0,0,0,22.08,0.0,0.0
SEOLIS,714,211,0,0,0,22.08,0.0,0.0
bp Pulse,668,28,459,1,0,100.0,0.0,0.0
Ecocharge77,664,316,438,0,0,22.8,0.0,0.0
TotalEnergies Charging Services,662,225,373,0,0,22.0,0.0,0.0
Seymaborne,662,310,416,0,0,22.08,0.0,0.0
Morbihan énergies,658,289,0,0,0,18.0,0.9300911854103343,0.0
NW IECharge,645,314,152,0,0,320.0,0.0,0.0
Yusco,637,57,0,0,0,22.0,0.9748822605965463,0.0
Plenitude On The Road,622,98,213,0,0,150.0,0.008038585209003215,0.0
DREAM ENERGY,620,110,192,0,0,160.0,1.0,0.0
ADP Groupe,604,31,0,0,0,11.04,0.0,0.0
Zunder,592,52,174,1,0,400.0,0.4560810810810811,0.0
e-charge50,589,255,182,0,0,22.0,0.030560271646859084,0.0
Qwello GmbH,560,376,0,0,0,22.0,1.0,0.0
Mobilize Power Solutions,508,393,0,0,438,22.0,0.0531496062992126,0.021653543307086614
Fastned France,505,66,462,7,0,300.0,1.0,0.0
Syndicat Départemental Énergie Aube (SDEA),497,234,0,0,0,18.0,0.0,0.0
EVzen (SMEG Développement),488,232,0,0,0,22.0,1.0,0.0
NEXTENEO,460,84,0,0,0,22.0,0.0,0.0
Fédération Départementale d'Énergie de la Somme (FDE80),444,200,0,0,0,22.0,1.0,0.0
Plug Inn fast charge,442,85,265,0,0,320.0,0.6312217194570136,0.0
ZEENCO e-mobility,432,145,0,0,0,22.08,0.0,0.05092592592592592
reGARD,418,193,217,0,0,22.08,0.0,0.0
Ubitricity,406,150,103,0,0,22.0,0.9507389162561576,0.0
Citeos Mobilité Electrique Paris - Cogelum IDF,395,159,160,6,387,22.0,0.9898734177215189,0.0
Eiffage Energie Systèmes,394,89,6,0,68,22.0,0.0,0.0
Reveo,394,185,0,0,0,22.08,0.0,0.0
Métropole Rouen Normandie,384,178,0,0,0,22.08,0.0,0.0
Zephyre SAS,370,369,0,0,192,22.0,0.5351351351351351,0.0
SGA Industries,347,118,0,0,0,22.0,0.1844380403458213,0.005763688760806916
FRS91,345,166,0,0,345,22.0,1.0,0.0
TotalEnergies Marketing France,327,29,9,0,18,22.0,0.0,0.0
e-totem,319,34,0,0,0,7.0,1.0,0.0
Delmonicos,294,79,0,0,0,22.0,0.0,0.0
OZECAR,269,269,0,0,0,22.0,1.0,0.0
SIEGE 27,267,134,0,0,0,22.0,1.0,0.0
Shell Recharge,265,32,198,2,0,150.0,1.0,0.0
SEVDEC,252,121,0,0,0,22.0,0.3134920634920635,0.0
ZEBORNE,249,249,0,0,15,22.0,0.0,0.18072289156626506
ChargeFacile,242,119,0,0,0,22.0,0.2024793388429752,0.0
Picoty,237,41,0,0,0,125.0,0.6075949367088608,0.0
Eoliberty,235,204,26,0,0,22.0,0.9914893617021276,0.0
GEEVE,233,45,85,0,0,47.0,0.3562231759656652,0.0
PARERA MOBILITE,224,72,222,30,0,22.0,0.013392857142857142,0.0
Syndicat Départemental d'Énergie De la Haute-Garonne (SDEHG),222,108,0,0,6,18.0,0.972972972972973,0.0
Séolis,218,112,0,0,0,18.0,0.03669724770642202,0.045871559633027525
Syndicat Départemental d'Énergie de Tarn-et-Garonne (SDE82),216,108,0,0,0,22.0,0.0,0.0
W:I (Comelec),199,78,0,0,0,22.0,0.0,0.0
Raw Charging,193,106,14,0,26,22.0,0.9896373056994818,0.0
Eranovum e-Mobility France SAS,182,34,39,3,0,120.0,0.0,0.0
Evota Netherlands B.V.,177,62,0,0,0,22.0,0.0,0.0
C4Energies,172,3,0,0,0,22.0,0.9825581395348837,0.0
Borneco,171,77,0,0,3,22.0,0.09941520467836257,0.0
G-MOB,164,73,0,0,0,22.0,0.0,0.0
sas e-motum,146,65,0,0,110,150.0,0.7534246575342466,0.0
Porsche Sales & Marketplace,144,144,55,1,0,0.0,0.18055555555555555,0.0
Charge Unix,135,32,0,0,0,22.0,0.0,0.0
ZEborne,128,128,0,0,2,22.0,0.0078125,0.09375
EASYCHARGE,123,26,67,0,123,150.0,1.0,0.0
Fuzed,123,51,0,0,0,22.0,1.0,0.0
IONITY,120,120,0,0,120,350.0,0.0,0.0
QoWatt,115,25,0,0,88,22.0,1.0,0.0
Syndicat Départemental d'Énergies du Gers (SDEG),111,56,0,0,0,22.0,0.0,0.0
OBORNES,110,12,64,0,0,400.0,0.07272727272727272,0.0
Aéroports de la Côte d'Azur,107,4,0,0,0,22.0,0.0,0.0
Milence,105,34,24,0,23,400.0,1.0,0.0
DEJA BLUE FRANCE,92,14,0,0,92,22.0,1.0,0.0
Sorel energies,91,11,21,0,0,60.0,1.0,0.0
Syndicat d'Energie et des Déchets de la Marne (SDED52),90,43,0,0,0,22.0,1.0,0.0
Z-E-N,89,20,29,0,61,200.0,0.06741573033707865,0.0898876404494382
MOBIVE_CITEOS,86,44,0,0,0,22.0,0.23255813953488372,0.0
FAROAD,84,22,24,0,0,22.08,0.0,0.0
Properphi,78,12,0,0,0,22.0,1.0,0.0
