creneau_utc,changements,pdc_distincts,pct_parc,retard_p50_min,retard_p90_min
000001,474,474,0.4568,5.13,9.75
001001,692,692,0.6669,8.03,38.18
002001,483,483,0.4655,6.16,16.3
003001,414,414,0.399,5.76,9.98
004002,463,463,0.4462,5.36,10.12
005001,487,487,0.4694,6.59,16.99
010002,389,389,0.3749,5.57,10.12
011002,805,805,0.7758,8.6,10.27
012001,513,513,0.4944,3.23,9.45
013001,746,746,0.719,10.33,20.73
014002,381,381,0.3672,6.03,10.2
015001,493,493,0.4751,5.14,16.36
020002,413,413,0.398,6.6,10.66
021001,438,438,0.4221,6.57,14.84
022002,387,387,0.373,5.23,10.11
023001,394,394,0.3797,6.31,10.38
024001,327,327,0.3152,5.68,9.82
025002,341,341,0.3286,6.83,19.73
030002,326,326,0.3142,5.87,10.16
031002,444,444,0.4279,5.98,13.7
032001,390,390,0.3759,5.61,10.15
033002,387,387,0.373,5.3,10.23
034001,435,435,0.4192,5.73,10.38
035001,474,474,0.4568,5.41,9.84
040002,495,495,0.4771,5.07,10.17
041001,574,574,0.5532,6.18,10.72
042002,613,613,0.5908,5.7,10.17
043002,681,681,0.6563,5.38,9.92
044002,693,693,0.6679,6.1,10.1
045001,682,682,0.6573,5.61,9.87
050002,807,807,0.7778,5.49,9.83
051001,921,921,0.8876,5.98,12.93
052002,1083,1083,1.0438,6.02,10.11
053001,1142,1142,1.1006,5.7,10.18
054002,1229,1229,1.1845,5.53,9.79
055001,1325,1325,1.277,5.96,10.17
060001,1469,1469,1.4158,5.81,10.04
061002,1788,1788,1.7232,6.29,12.71
062002,1962,1962,1.8909,5.86,10.1
063002,1871,1871,1.8032,5.7,9.98
064002,1941,1941,1.8707,5.83,9.82
065001,2074,2074,1.9989,6.17,10.31
070001,2034,2034,1.9603,5.8,9.8
071002,2583,2583,2.4894,6.92,20.9
072002,2217,2217,2.1367,5.59,9.89
073002,2539,2539,2.447,5.77,10.3
074002,2408,2408,2.3208,5.99,10.1
075001,2538,2538,2.4461,5.92,9.95
080001,2850,2850,2.7467,5.9,10.34
081002,2830,2830,2.7275,6.13,11.42
082001,3076,3076,2.9646,6.25,10.72
083001,2969,2969,2.8614,6.0,10.14
084001,3384,3384,3.2614,6.23,10.62
085001,3229,3229,3.112,5.86,10.12
090001,3673,3673,3.5399,6.28,10.84
091002,3651,3651,3.5187,6.36,11.58
092002,3801,3801,3.6633,6.25,10.45
093002,3827,3827,3.6884,5.89,10.2
094002,3619,3619,3.4879,5.85,9.83
095002,3900,3900,3.7587,6.18,10.4
100002,4154,4154,4.0035,5.9,10.41
101001,4272,4272,4.1172,6.42,13.48
102001,4220,4220,4.0671,5.94,10.31
103002,4312,4312,4.1558,6.05,10.34
104002,3799,3799,3.6614,5.75,9.73
105002,4221,4221,4.0681,6.3,10.59
110002,4111,4111,3.9621,5.53,10.02
111001,4221,4221,4.0681,6.4,19.53
112001,3706,3706,3.5717,5.91,10.06
113001,4250,4250,4.096,6.4,10.93
114001,3538,3538,3.4098,5.66,9.71
115002,3846,3846,3.7067,6.13,10.58
120001,3958,3958,3.8146,6.02,10.3
121002,3733,3733,3.5978,6.15,11.55
122002,3674,3674,3.5409,6.1,10.95
123002,3841,3841,3.7018,6.01,10.38
124002,3212,3212,3.0956,5.8,9.64
125002,3626,3626,3.4946,6.2,10.63
130001,3467,3467,3.3414,6.01,10.09
131001,4204,4204,4.0517,6.57,17.55
132001,3591,3591,3.4609,6.08,10.23
133002,3856,3856,3.7163,5.51,10.1
134001,3703,3703,3.5688,6.06,10.41
135001,3740,3740,3.6045,5.92,10.05
140002,3969,3969,3.8252,6.22,10.52
141002,4121,4121,3.9717,6.33,10.93
142001,4018,4018,3.8724,6.37,10.5
143001,3902,3902,3.7606,5.85,10.04
144002,4033,4033,3.8869,6.16,10.42
145002,3802,3802,3.6643,5.77,10.03
150001,4086,4086,3.938,6.18,10.61
151002,4330,4330,4.1731,6.21,11.0
152002,4147,4147,3.9968,6.21,10.55
153002,3865,3865,3.725,5.89,10.09
154002,4227,4227,4.0739,6.42,10.8
155002,4003,4003,3.858,5.86,10.14
160002,4239,4239,4.0854,6.0,10.45
161002,4457,4457,4.2955,6.31,13.65
162002,3950,3950,3.8069,5.75,9.78
163002,4043,4043,3.8965,5.87,10.11
164001,3831,3831,3.6922,5.6,9.68
165001,3901,3901,3.7597,5.89,10.17
170001,3791,3791,3.6537,5.58,9.92
171002,3981,3981,3.8368,6.27,14.71
172002,3630,3630,3.4985,5.98,10.12
173002,3246,3246,3.1284,5.65,9.78
174001,3247,3247,3.1294,5.75,9.96
175001,2869,2869,2.7651,5.56,9.64
180002,2951,2951,2.8441,6.05,10.68
181002,3110,3110,2.9973,6.4,13.85
182002,2388,2388,2.3015,5.62,9.87
183002,2451,2451,2.3622,5.81,10.27
184001,2150,2150,2.0721,5.4,9.56
185001,2297,2297,2.2138,6.1,10.53
190001,2078,2078,2.0027,5.72,9.92
191001,2361,2361,2.2755,6.62,15.75
192001,1899,1899,1.8302,5.8,9.95
193001,1856,1856,1.7888,5.77,10.03
194001,1813,1813,1.7473,5.89,10.04
195001,1694,1694,1.6326,6.29,10.58
200002,1607,1607,1.5488,5.88,9.98
201001,1835,1835,1.7685,6.89,17.93
202001,1492,1492,1.4379,5.83,9.84
203001,1406,1406,1.3551,5.82,10.1
204001,1410,1410,1.3589,5.92,10.08
205001,1288,1288,1.2413,5.77,9.66
210002,1260,1260,1.2144,5.66,9.92
211002,1422,1422,1.3705,6.57,24.19
212002,1085,1085,1.0457,6.04,9.88
213002,1146,1146,1.1045,6.04,10.25
214001,996,996,0.9599,5.55,9.71
215001,1022,1022,0.985,6.05,10.46
220002,915,915,0.8819,5.93,10.23
221001,1090,1090,1.0505,6.68,13.97
222001,871,871,0.8394,5.68,9.98
223002,816,816,0.7864,6.08,9.75
224002,757,757,0.7296,5.66,9.96
225001,754,754,0.7267,5.45,9.72
230001,731,731,0.7045,5.22,9.65
231001,771,771,0.7431,6.43,13.93
232002,562,562,0.5416,5.57,9.71
233002,631,631,0.6081,5.69,9.8
234001,554,554,0.5339,5.34,9.8
235001,535,535,0.5156,5.38,9.7
