debut_utc,fin_utc,dt_min,pdc_communs,horodatage_avance,pct_horodatage_avance,etat_ou_occupation_change,pct_change,entrees,sorties,pdc_flux
2026-09-17T20:23:12+00:00,2026-09-17T20:23:25+00:00,0.22,110759,389,0.3512,112,0.1011,0,0,110759
2026-09-17T20:23:25+00:00,2026-09-17T20:25:00+00:00,1.58,110759,302,0.2727,193,0.1743,0,0,110759
2026-09-17T20:25:00+00:00,2026-09-17T20:29:59+00:00,4.98,110759,1282,1.1575,601,0.5426,0,0,110759
2026-09-17T20:29:59+00:00,2026-09-17T20:35:00+00:00,5.02,110759,1308,1.1809,575,0.5191,0,0,110759
2026-09-17T20:35:00+00:00,2026-09-17T20:40:00+00:00,5.0,110759,1318,1.19,590,0.5327,0,0,110759
2026-09-17T20:40:00+00:00,2026-09-17T20:44:59+00:00,4.98,110759,1216,1.0979,504,0.455,0,0,110759
2026-09-17T20:44:59+00:00,2026-09-17T20:49:59+00:00,5.0,110759,1135,1.0247,524,0.4731,0,0,110759
2026-09-17T20:49:59+00:00,2026-09-17T20:55:00+00:00,5.02,110759,1231,1.1114,541,0.4884,0,0,110759
2026-09-17T20:55:00+00:00,2026-09-17T21:00:00+00:00,5.0,110759,1232,1.1123,481,0.4343,0,0,110759
2026-09-17T21:00:00+00:00,2026-09-17T21:04:59+00:00,4.98,110759,3137,2.8323,686,0.6194,0,0,110759
2026-09-17T21:04:59+00:00,2026-09-17T21:09:59+00:00,5.0,110759,1181,1.0663,437,0.3946,0,0,110759
2026-09-17T21:09:59+00:00,2026-09-17T21:14:59+00:00,5.0,110759,1204,1.087,493,0.4451,0,0,110759
2026-09-17T21:14:59+00:00,2026-09-17T21:20:00+00:00,5.02,110759,1143,1.032,439,0.3964,0,0,110759
2026-09-17T21:20:00+00:00,2026-09-17T21:24:59+00:00,4.98,110759,1052,0.9498,407,0.3675,0,0,110759
2026-09-17T21:24:59+00:00,2026-09-17T21:29:59+00:00,5.0,110759,1075,0.9706,410,0.3702,0,0,110759
2026-09-17T21:29:59+00:00,2026-09-17T21:35:00+00:00,5.02,110759,1106,0.9986,413,0.3729,0,0,110759
2026-09-17T21:35:00+00:00,2026-09-17T21:40:00+00:00,5.0,110759,1106,0.9986,396,0.3575,0,0,110759
2026-09-17T21:40:00+00:00,2026-09-17T21:45:00+00:00,5.0,110759,1106,0.9986,397,0.3584,0,0,110759
2026-09-17T21:45:00+00:00,2026-09-17T21:50:00+00:00,5.0,110759,1061,0.9579,378,0.3413,0,0,110759
2026-09-17T21:50:00+00:00,2026-09-17T21:55:00+00:00,5.0,110759,1043,0.9417,377,0.3404,0,0,110759
2026-09-17T21:55:00+00:00,2026-09-17T21:59:59+00:00,4.98,110759,1098,0.9913,383,0.3458,0,0,110759
2026-09-17T21:59:59+00:00,2026-09-17T22:04:59+00:00,5.0,110759,3043,2.7474,537,0.4848,0,0,110759
2026-09-17T22:04:59+00:00,2026-09-17T22:10:00+00:00,5.02,110759,1126,1.0166,416,0.3756,0,0,110759
2026-09-17T22:10:00+00:00,2026-09-17T22:15:00+00:00,5.0,110759,1142,1.0311,377,0.3404,0,0,110759
2026-09-17T22:15:00+00:00,2026-09-17T22:20:00+00:00,5.0,110759,1055,0.9525,362,0.3268,0,0,110759
2026-09-17T22:20:00+00:00,2026-09-17T22:24:59+00:00,4.98,110759,1127,1.0175,369,0.3332,0,0,110759
2026-09-17T22:24:59+00:00,2026-09-17T22:30:00+00:00,5.02,110759,951,0.8586,314,0.2835,0,0,110759
2026-09-17T22:30:00+00:00,2026-09-17T22:34:59+00:00,4.98,110759,1007,0.9092,320,0.2889,0,0,110759
2026-09-17T22:34:59+00:00,2026-09-17T22:39:59+00:00,5.0,110759,1051,0.9489,330,0.2979,0,0,110759
2026-09-17T22:39:59+00:00,2026-09-17T22:45:00+00:00,5.02,110759,1034,0.9336,270,0.2438,0,0,110759
2026-09-17T22:45:00+00:00,2026-09-17T22:49:59+00:00,4.98,110759,1021,0.9218,307,0.2772,0,0,110759
2026-09-17T22:49:59+00:00,2026-09-17T22:55:00+00:00,5.02,110759,972,0.8776,293,0.2645,0,0,110759
2026-09-17T22:55:00+00:00,2026-09-17T23:00:00+00:00,5.0,110759,997,0.9002,316,0.2853,0,0,110759
2026-09-17T23:00:00+00:00,2026-09-17T23:05:00+00:00,5.0,110759,2092,1.8888,440,0.3973,4,0,110763
2026-09-17T23:05:00+00:00,2026-09-17T23:10:00+00:00,5.0,110763,982,0.8866,301,0.2718,0,0,110763
2026-09-17T23:10:00+00:00,2026-09-17T23:15:00+00:00,5.0,110763,956,0.8631,280,0.2528,0,0,110763
2026-09-17T23:15:00+00:00,2026-09-17T23:20:00+00:00,5.0,110763,993,0.8965,235,0.2122,0,0,110763
2026-09-17T23:20:00+00:00,2026-09-17T23:25:00+00:00,5.0,110763,891,0.8044,247,0.223,0,0,110763
2026-09-17T23:25:00+00:00,2026-09-17T23:30:00+00:00,5.0,110763,828,0.7475,206,0.186,0,0,110763
2026-09-17T23:30:00+00:00,2026-09-17T23:35:00+00:00,5.0,110763,913,0.8243,263,0.2374,0,0,110763
2026-09-17T23:35:00+00:00,2026-09-17T23:40:00+00:00,5.0,110763,978,0.883,251,0.2266,0,0,110763
2026-09-17T23:40:00+00:00,2026-09-17T23:45:00+00:00,5.0,110763,989,0.8929,264,0.2383,0,0,110763
2026-09-17T23:45:00+00:00,2026-09-17T23:50:00+00:00,5.0,110763,961,0.8676,269,0.2429,0,0,110763
2026-09-17T23:50:00+00:00,2026-09-17T23:55:00+00:00,5.0,110763,969,0.8748,273,0.2465,0,0,110763
2026-09-17T23:55:00+00:00,2026-09-17T23:59:59+00:00,4.98,110763,992,0.8956,322,0.2907,0,0,110763
2026-09-17T23:59:59+00:00,2026-09-18T00:05:00+00:00,5.02,110763,2954,2.667,411,0.3711,0,0,110763
2026-09-18T00:05:00+00:00,2026-09-18T00:10:00+00:00,5.0,110763,1334,1.2044,373,0.3368,0,0,110763
2026-09-18T00:10:00+00:00,2026-09-18T00:15:00+00:00,5.0,110763,1170,1.0563,304,0.2745,0,0,110763
2026-09-18T00:15:00+00:00,2026-09-18T00:20:00+00:00,5.0,110763,1109,1.0012,251,0.2266,0,0,110763
2026-09-18T00:20:00+00:00,2026-09-18T00:25:00+00:00,5.0,110763,1413,1.2757,208,0.1878,0,0,110763
2026-09-18T00:25:00+00:00,2026-09-18T00:30:00+00:00,5.0,110763,1064,0.9606,244,0.2203,0,0,110763
2026-09-18T00:30:00+00:00,2026-09-18T00:35:00+00:00,5.0,110763,963,0.8694,305,0.2754,0,0,110763
2026-09-18T00:35:00+00:00,2026-09-18T00:40:00+00:00,5.0,110763,1115,1.0067,327,0.2952,0,0,110763
2026-09-18T00:40:00+00:00,2026-09-18T00:44:59+00:00,4.98,110763,1019,0.92,234,0.2113,0,0,110763
2026-09-18T00:44:59+00:00,2026-09-18T00:50:00+00:00,5.02,110763,971,0.8766,244,0.2203,0,0,110763
2026-09-18T00:50:00+00:00,2026-09-18T00:55:00+00:00,5.0,110763,992,0.8956,248,0.2239,0,0,110763
2026-09-18T00:55:00+00:00,2026-09-18T01:00:00+00:00,5.0,110763,861,0.7773,205,0.1851,0,0,110763
2026-09-18T01:00:00+00:00,2026-09-18T01:05:00+00:00,5.0,110763,3922,3.5409,356,0.3214,0,0,110763
2026-09-18T01:05:00+00:00,2026-09-18T01:10:00+00:00,5.0,110763,1094,0.9877,283,0.2555,0,0,110763
2026-09-18T01:10:00+00:00,2026-09-18T01:15:00+00:00,5.0,110763,1214,1.096,345,0.3115,0,0,110763
2026-09-18T01:15:00+00:00,2026-09-18T01:19:59+00:00,4.98,110763,940,0.8487,254,0.2293,0,0,110763
2026-09-18T01:19:59+00:00,2026-09-18T01:25:00+00:00,5.02,110763,968,0.8739,236,0.2131,0,0,110763
2026-09-18T01:25:00+00:00,2026-09-18T01:30:00+00:00,5.0,110763,956,0.8631,169,0.1526,0,0,110763
2026-09-18T01:30:00+00:00,2026-09-18T01:35:00+00:00,5.0,110763,844,0.762,230,0.2077,0,0,110763
2026-09-18T01:35:00+00:00,2026-09-18T01:40:00+00:00,5.0,110763,853,0.7701,211,0.1905,0,0,110763
2026-09-18T01:40:00+00:00,2026-09-18T01:45:00+00:00,5.0,110763,990,0.8938,222,0.2004,0,0,110763
2026-09-18T01:45:00+00:00,2026-09-18T01:50:00+00:00,5.0,110763,1074,0.9696,318,0.2871,0,0,110763
2026-09-18T01:50:00+00:00,2026-09-18T01:55:00+00:00,5.0,110763,1030,0.9299,303,0.2736,0,0,110763
2026-09-18T01:55:00+00:00,2026-09-18T02:00:00+00:00,5.0,110763,972,0.8775,324,0.2925,0,0,110763
2026-09-18T02:00:00+00:00,2026-09-18T02:05:00+00:00,5.0,110763,4596,4.1494,373,0.3368,0,0,110763
2026-09-18T02:05:00+00:00,2026-09-18T02:10:00+00:00,5.0,110763,1755,1.5845,257,0.232,0,0,110763
2026-09-18T02:10:00+00:00,2026-09-18T02:15:00+00:00,5.0,110763,962,0.8685,217,0.1959,0,0,110763
2026-09-18T02:15:00+00:00,2026-09-18T02:20:00+00:00,5.0,110763,838,0.7566,149,0.1345,0,0,110763
2026-09-18T02:20:00+00:00,2026-09-18T02:25:00+00:00,5.0,110763,967,0.873,180,0.1625,0,0,110763
2026-09-18T02:25:00+00:00,2026-09-18T02:30:00+00:00,5.0,110763,921,0.8315,216,0.195,0,0,110763
2026-09-18T02:30:00+00:00,2026-09-18T02:35:00+00:00,5.0,110763,962,0.8685,286,0.2582,0,0,110763
2026-09-18T02:35:00+00:00,2026-09-18T02:40:00+00:00,5.0,110763,765,0.6907,182,0.1643,0,0,110763
2026-09-18T02:40:00+00:00,2026-09-18T02:45:00+00:00,5.0,110763,3256,2.9396,2500,2.2571,0,0,110763
2026-09-18T02:45:00+00:00,2026-09-18T02:50:00+00:00,5.0,110763,1896,1.7118,1112,1.0039,0,0,110763
2026-09-18T02:50:00+00:00,2026-09-18T02:55:00+00:00,5.0,110763,1080,0.9751,375,0.3386,0,0,110763
2026-09-18T02:55:00+00:00,2026-09-18T03:00:00+00:00,5.0,110763,890,0.8035,200,0.1806,0,0,110763
2026-09-18T03:00:00+00:00,2026-09-18T03:05:00+00:00,5.0,110763,4040,3.6474,398,0.3593,1,0,110764
2026-09-18T03:05:00+00:00,2026-09-18T03:10:00+00:00,5.0,110764,948,0.8559,256,0.2311,0,0,110764
2026-09-18T03:10:00+00:00,2026-09-18T03:15:00+00:00,5.0,110764,1029,0.929,266,0.2402,0,0,110764
2026-09-18T03:15:00+00:00,2026-09-18T03:20:00+00:00,5.0,110764,880,0.7945,248,0.2239,0,0,110764
2026-09-18T03:20:00+00:00,2026-09-18T03:25:00+00:00,5.0,110764,835,0.7539,211,0.1905,0,0,110764
2026-09-18T03:25:00+00:00,2026-09-18T03:30:00+00:00,5.0,110764,963,0.8694,241,0.2176,0,0,110764
