prefixe,pdc,operateur,part_op,n_op,amenageur,siren,n_siren,enseigne_top
FRFR1,9459,Freshmile | FR*FR1,0.993,5,Ardenne Métropole global,440194538,15,Freshmile France
FRPD1,7662,Power Dot France,1.0,1,Power Dot France,891118473,1,Power Dot France
FRPKG,7649,GROUPE INDIGO,1.0,1,GROUPE INDIGO,,0,Réseau de recharge du groupe Indigo
FRLDL,5866,Lidl France,0.874,2,Lidl France,343262622,1,Lidl France
FRTSL,4937,Tesla,0.974,2,Tesla,524335262,1,Tesla
FROTH,4466,Izivia,0.642,2,EDF-EV100,572183994,7,EDF-EV100
FRVIA,4219,ENGIE Vianeo,0.983,2,ENGIE Vianeo,909073363,1,ENGIE Vianeo
FREBN,3788,EASYCHARGE,0.964,2,SPBR1,882332562,1,eborn
FRALL,3515,Allego,0.901,2,Allego,842718512,2,Carrefour Energies
FRLE2,3371,E.Leclerc | FR*LE2,0.987,4,"E.Leclerc, Barjouville",810800268,2,Freshmile France
FRELC,3100,Electra,0.996,2,Electra,891624884,1,Electra A7 - Aire Latitude 45 (direction Lyon)
FRALN,3068,ALDI SARL,0.986,9,ALDI MARCHE BOIS-GRENIER SARL,403093644,16,ALDI
FRETI,2910,E-Totem,0.877,2,E-TOTEM INFRADIV,953900123,15,E-Totem tiers investissement FR*ETI
FRSSD,2824,DRIVECO Partner Network,1.0,1,DRIVECO,,0,DRIVECO
FRMBI,2535,Citeos Mobilité Electrique Paris - Cogelum IDF,1.0,1,200__TE47,254701824,1,CPO CITEOS Mobive
FRIZF,2482,IZIVIA,1.0,1,IZIVIA FAST,951478437,1,IZIVIA FAST
FRQOV,2409,QOVOLTIS,1.0,1,Qovoltis,853420032,5,QOVOLTIS
FRHPC,2268,TotalEnergies Marketing France,0.966,2,TotalEnergies Marketing France,531680445,3,TotalEnergies Charge Rapide
FRV75,2224,TotalEnergies Marketing France,1.0,1,TotalEnergies Marketing France,531680445,1,Belib'
FRSAE,2063,TotalEnergies Marketing France,0.558,2,SAEMES,317032993,2,SAEMES
FRBMP,2055,Bump,1.0,1,Bump,897849923,1,Bump
FRQPK,1934,IZIVIA,1.0,1,QPARK,,0,QPARK
FR55C,1921,ELECTRIC 55 CHARGING,1.0,1,ELECTRIC 55 CHARGING,832489801,1,ELECTRIC 55 CHARGING
FRDRV,1909,DRIVECO,0.995,2,DRIVECO,818943938,1,DRIVECO - Horizon Provence - Monteux
FRIOY,1850,Ionity,1.0,1,Ionity,838436145,1,IONITY GmbH IONITY Rousset
FRH01,1802,Bouygues Energies & Services,1.0,1,Syndicat d'Energie de l'Oise - SE60,,0,Pass pass électrique
FREVC,1788,Allego,1.0,1,EV Cars,895163608,1,Allego - Thiais Belle Epine
FRWA2,1759,WAAT SAS | FR*WA2,0.703,2,ICADE SA,582074944,27,WAAT Tertiaire
FRTCB,1632,TotalEnergies Charging Services,0.717,3,TotalEnergies Charging Services,844192443,80,TotalEnergies - Metpark
FREVZ,1621,EVzen,0.931,2,SMEG DEVELOPPEMENT,940861826,1,EVzen
FRHXW,1581,TotalEnergies Charging Services,0.936,2,Hewawatt 1.1,949369623,2,TotalEnergies Charging Services
FRATL,1550,Atlante France,1.0,1,Atlante,911482628,1,Atlante - A89 - Aire de service du Chavanon (accessible dans les 2 sens)
FRECH,1510,EASYCHARGE,0.997,2,Easy Charge Services,901772400,1,Easy Charge Services
FRS14,1403,Load Stations,0.806,2,Syndicat Départemental d'Energies du Calvados (SDEC ENERGIE),200045938,1,SDEC ENERGIE
FREFL,1375,Road | FR*EFL,1.0,1,Road,,0,Road
FRBE3,1360,Bouygues Energies & Services,1.0,1,Communauté urbaine Grand Paris Seine & Oise,981104912,1,Alizé Liberté 2
FRRVE,1341,REVEO SYADEN | FR*RVE,1.0,1,SYADEN11,,0,Révéo 2025
