capture_utc,http_status,bytes,sha256,consolidation_utc,last_modified,etag,elapsed_s,archived_path,erreur
2026-09-17T20:23:12.468242+00:00,200,8938441,d58a94b0973d88717b81043099880ba59a850143386b5aacf75733f863f5c346,2026-09-17T20:23:12.715508Z,,,0.51,data/raw/dynamique/2026-09-17/202312.csv.gz,
2026-09-17T20:23:25.829322+00:00,200,8938340,e4a912cb2ea81a09edc4d11837ded8f3157256555fc6bcc602c15962e35b13bd,2026-09-17T20:23:26.120207Z,,,0.54,data/raw/dynamique/2026-09-17/202325.csv.gz,
2026-09-17T20:25:00.004671+00:00,200,8938341,4b9a458d09588bdf90f136187ada1b43bb0f38ae56b561022330c624ace34e9e,2026-09-17T20:25:00.295186Z,,,0.59,data/raw/dynamique/2026-09-17/202500.csv.gz,
2026-09-17T20:29:59.989326+00:00,200,8938287,7362cdc5a1c24482cc6e68de400dd87fd839659a3d53a1e56a0b07899adafae8,2026-09-17T20:30:00.432760Z,,,0.68,data/raw/dynamique/2026-09-17/202959.csv.gz,
2026-09-17T20:35:00.002591+00:00,200,8938222,95a3d82ea6156408b1e723959ea62362585627a72451f967ad591efa11fa801c,2026-09-17T20:35:00.584508Z,,,0.89,data/raw/dynamique/2026-09-17/203500.csv.gz,
2026-09-17T20:40:00.002653+00:00,200,8938202,55fc0adf8cbaa7ea69bbf608be2a30b5e1bec20b235434fb0046893754c48cb6,2026-09-17T20:40:00.351643Z,,,0.58,data/raw/dynamique/2026-09-17/204000.csv.gz,
2026-09-17T20:44:59.999698+00:00,200,8938152,8b4bae2853dde79f660798dce240f80c6224a0bbfa4b88b5820fd0e9fc616d4a,2026-09-17T20:45:00.319838Z,,,0.56,data/raw/dynamique/2026-09-17/204459.csv.gz,
2026-09-17T20:49:59.999751+00:00,200,8937971,2397e6ccae0a2241ea7b0b37e9c696dc33c2d6781bc84f931aa30bfd6357169e,2026-09-17T20:50:00.338179Z,,,0.67,data/raw/dynamique/2026-09-17/204959.csv.gz,
2026-09-17T20:55:00.004461+00:00,200,8937943,38c73e5559bd0ef4504c1e013595d18b747e66fcf4aa19d39d8bedf35dc0a2f3,2026-09-17T20:55:00.464312Z,,,0.66,data/raw/dynamique/2026-09-17/205500.csv.gz,
2026-09-17T21:00:00.002662+00:00,200,8937952,ec1f419a88e0cfdaf858784974c356198ae580dcb56d66ed8e8044ea30453c03,2026-09-17T21:00:00.452319Z,,,0.94,data/raw/dynamique/2026-09-17/210000.csv.gz,
