valeur_brute,nb_pdc_dedoublonne,part_pdc_pct,nb_stations,nb_enseignes,nb_pdc_non_dedoublonne,longueur
,132406,78.5317,37348,4322,274171,0
"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",10340,6.1328,2743,1139,14452,397
"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",2984,1.7698,1405,1,2984,192
Tarification au kWh plus frais de connexion éventuelles en fonction de l abonnement détenu,2594,1.5385,655,1,4524,90
Inconnu,2055,1.2188,218,1,2055,7
"entre 07:00 et 22:00 : 0.3333€ par kwh de charge, entre 07:00 et 22:00 : 5.0€ par heure d'occupation hors charge, 0.3333€ par kwh de charge, 5.0€ par heure de charge, entre 22:00 et 07:00 : 0.3333€ par kwh de charge, par défaut : 0.3333€ par kwh de charge",1649,0.978,964,1,1649,255
https://www.metropolis-recharge.fr/,1095,0.6495,209,2,1950,35
Tarification au kWh plus frais de connexion éventuelles en fonction de l'abonnement détenu. Supplément de tarif à la minute pour les recharges en roaming,1037,0.6151,194,1,1057,153
AC 36cts/KWh,744,0.4413,182,2,748,12
-,728,0.4318,125,74,1746,1
"par défaut : 0.4667€ par kwh de charge, par défaut : 0.4667€ par kwh de charge, 6.6667€ par heure d'occupation hors charge, 6.6667€ par heure de charge, par défaut : 0.4667€ par kwh de charge",727,0.4312,190,1,727,191
Grille tarifaire en ligne,665,0.3944,665,1,733,25
"0,29€ / kWh",547,0.3244,150,1,3569,11
https://www.ouestcharge-paysdelaloire-moncompte.fr/fr/tarifs,529,0.3138,269,2,863,60
"par défaut : 6.0€ par heure d'occupation hors charge, 0.42€ par kwh de charge",499,0.296,172,1,499,77
HPC 49cts/Kwh ,484,0.2871,157,2,484,14
https://www.e-vadea.fr/fr/tarifs,471,0.2794,41,1,802,32
"par défaut : 0.4167€ par kwh de charge, par défaut : 6.0€ par heure d'occupation hors charge, 0.4167€ par kwh de charge, 6.0€ par heure de charge, par défaut : 0.4167€ par kwh de charge",361,0.2141,226,1,361,185
"entre 08:00 et 20:00 : 0.39€ par kwh de charge, 3.2€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.39€ par kwh de charge, par défaut : 0.39€ par kwh de charge",343,0.2034,165,1,686,173
59 cts/kWh,286,0.1696,50,2,3879,10
"par défaut : 0.4667€ par kwh de charge, par défaut : 6.6667€ par heure d'occupation hors charge, 6.6667€ par heure de charge, 0.4667€ par kwh de charge, par défaut : 0.4667€ par kwh de charge",282,0.1673,65,1,282,191
HPC 59cts/Kwh ,269,0.1595,69,2,269,14
